,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Value
29,CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,7.0
30,EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,5.4
31,ISR,Israel,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,4.6
32,LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,6.3
33,SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,5.9
34,OECD,OECD - Total,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,5.1
35,AUS,Australia,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.7
36,AUT,Austria,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,1.3
37,BEL,Belgium,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.0
38,CAN,Canada,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.9
39,CZE,Czech Republic,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,1.6
40,DNK,Denmark,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.0
41,FIN,Finland,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.2
42,FRA,France,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.1
43,DEU,Germany,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,1.8
44,GRC,Greece,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,1.8
45,HUN,Hungary,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,1.2
46,ISL,Iceland,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.1
47,IRL,Ireland,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,1.3
48,ITA,Italy,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.5
49,JPN,Japan,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,1.4
50,KOR,Korea,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.9
51,LUX,Luxembourg,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,1.7
52,MEX,Mexico,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,3.2
53,NLD,Netherlands,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.6
54,NZL,New Zealand,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.5
55,NOR,Norway,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.2
56,POL,Poland,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.6
57,PRT,Portugal,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,1.5
58,SVK,Slovak Republic,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,3.0
59,ESP,Spain,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,1.8
60,SWE,Sweden,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.0
61,CHE,Switzerland,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.3
62,TUR,Türkiye,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,1.5
63,GBR,United Kingdom,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,3.1
64,USA,United States,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,3.1
65,BRA,Brazil,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.2
66,CHL,Chile,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,1.3
67,EST,Estonia,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.7
68,ISR,Israel,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.5
69,LVA,Latvia,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.2
70,SVN,Slovenia,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.5
71,OECD,OECD - Total,CG_SENG,Stakeholder engagement for developing regulations,L,Value,TOT,Total,AVSCORE,Average score,0,Units,2.1
72,AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.8
73,BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.7
74,CAN,Canada,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.2
75,CZE,Czech Republic,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.5
76,DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.5
77,FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.4
78,FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.5
79,DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.1
80,GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.4
81,HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,3.5
82,ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.0
83,IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.2
84,ITA,Italy,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.6
85,JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,6.4
86,KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,2.5
87,LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.1
88,MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,25.9
89,NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.1
90,NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.0
91,POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,2.3
92,PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.9
93,SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,1.5
94,ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.3
95,SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.0
96,CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.0
97,TUR,Türkiye,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,4.9
98,GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.5
99,USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.1
100,BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,6.7
101,CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,9.4
102,EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,5.7
103,LVA,Latvia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,11.2
104,RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,13.8
105,SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,0.2
106,ZAF,South Africa,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,35.9
107,OECD,OECD - Total,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,3.0
108,AUS,Australia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,19.4
109,AUT,Austria,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,20.8
110,BEL,Belgium,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,20.0
111,CAN,Canada,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,22.9
112,CZE,Czech Republic,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,23.4
113,DNK,Denmark,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,23.3
114,FIN,Finland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,23.1
115,FRA,France,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,20.7
116,DEU,Germany,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,20.0
117,GRC,Greece,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,21.8
118,HUN,Hungary,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,19.9
119,IRL,Ireland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,20.6
120,ITA,Italy,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,22.5
121,JPN,Japan,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,21.8
122,KOR,Korea,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,14.7
123,LUX,Luxembourg,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,20.7
124,MEX,Mexico,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,17.8
125,NLD,Netherlands,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,19.6
126,NZL,New Zealand,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,25.0
127,NOR,Norway,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,17.7
128,POL,Poland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,21.2
129,PRT,Portugal,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,19.6
130,SVK,Slovak Republic,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,27.4
131,ESP,Spain,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,21.7
132,SWE,Sweden,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,20.1
133,CHE,Switzerland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,21.4
134,TUR,Türkiye,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,18.9
135,GBR,United Kingdom,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,23.2
136,USA,United States,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,18.3
137,CHL,Chile,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,18.4
138,EST,Estonia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,17.0
139,LVA,Latvia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,20.8
140,RUS,Russia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,17.4
141,SVN,Slovenia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,18.2
142,ZAF,South Africa,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,18.1
143,OECD,OECD - Total,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,20.5
144,AUS,Australia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,67.0
145,AUT,Austria,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,86.0
146,BEL,Belgium,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,56.0
147,CAN,Canada,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,78.0
148,CZE,Czech Republic,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,77.0
149,DNK,Denmark,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,85.0
150,FIN,Finland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,88.0
151,FRA,France,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,74.0
152,DEU,Germany,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,76.0
153,GRC,Greece,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,69.0
154,HUN,Hungary,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,74.0
155,ISL,Iceland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,85.0
156,IRL,Ireland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,76.0
157,ITA,Italy,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,73.0
158,JPN,Japan,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,77.0
159,KOR,Korea,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,82.0
160,LUX,Luxembourg,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,87.0
161,MEX,Mexico,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,42.0
162,NLD,Netherlands,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,83.0
163,NZL,New Zealand,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,66.0
164,NOR,Norway,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,93.0
165,POL,Poland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,71.0
166,PRT,Portugal,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,83.0
167,SVK,Slovak Republic,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,76.0
168,ESP,Spain,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,80.0
169,SWE,Sweden,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,79.0
170,CHE,Switzerland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,86.0
171,TUR,Türkiye,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,59.0
172,GBR,United Kingdom,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,78.0
173,USA,United States,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,78.0
174,BRA,Brazil,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,45.0
175,CHL,Chile,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,41.0
176,EST,Estonia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,79.0
177,ISR,Israel,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,80.0
178,LVA,Latvia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,72.0
179,RUS,Russia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,64.0
180,SVN,Slovenia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,91.0
181,ZAF,South Africa,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,40.0
182,OECD,OECD - Total,PS_FSAFEN,Feeling safe walking alone at night,L,Value,TOT,Total,PC,Percentage,0,Units,74.0
183,AUS,Australia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,81.0
184,AUT,Austria,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,89.0
185,BEL,Belgium,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,66.0
186,CAN,Canada,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,88.0
187,CZE,Czech Republic,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,88.0
188,DNK,Denmark,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,94.0
189,FIN,Finland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,96.0
190,FRA,France,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,78.0
191,DEU,Germany,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,83.0
192,GRC,Greece,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,79.0
193,HUN,Hungary,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,83.0
194,ISL,Iceland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,93.0
195,IRL,Ireland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,86.0
196,ITA,Italy,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,79.0
197,JPN,Japan,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,85.0
198,KOR,Korea,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,87.0
199,LUX,Luxembourg,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,89.0
200,MEX,Mexico,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,54.0
201,NLD,Netherlands,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,95.0
202,NZL,New Zealand,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,80.0
203,NOR,Norway,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,98.0
204,POL,Poland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,80.0
205,PRT,Portugal,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,92.0
206,SVK,Slovak Republic,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,86.0
207,ESP,Spain,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,86.0
208,SWE,Sweden,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,90.0
209,CHE,Switzerland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,91.0
210,TUR,Türkiye,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,72.0
211,GBR,United Kingdom,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,80.0
212,USA,United States,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,88.0
213,BRA,Brazil,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,55.0
214,CHL,Chile,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,53.0
215,EST,Estonia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,90.0
216,ISR,Israel,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,83.0
217,LVA,Latvia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,87.0
218,RUS,Russia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,74.0
219,SVN,Slovenia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,95.0
220,ZAF,South Africa,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,46.0
221,OECD,OECD - Total,PS_FSAFEN,Feeling safe walking alone at night,L,Value,MN,Men,PC,Percentage,0,Units,82.0
222,AUS,Australia,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,PC,Percentage,0,Units,54.0
223,AUT,Austria,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,PC,Percentage,0,Units,82.0
224,BEL,Belgium,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,PC,Percentage,0,Units,47.0
225,CAN,Canada,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,PC,Percentage,0,Units,67.0
226,CZE,Czech Republic,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,PC,Percentage,0,Units,67.0
227,DNK,Denmark,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,PC,Percentage,0,Units,77.0
228,FIN,Finland,PS_FSAFEN,Feeling safe walking alone at night,L,Value,WMN,Women,PC,Percentage,0,Units,80.0
