,Unnamed: 0,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Value
22,22,PRT,Portugal,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,8.1
23,23,SVK,Slovak Republic,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,8.8
24,24,ESP,Spain,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,15.8
25,25,SWE,Sweden,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,4.4
26,26,TUR,Türkiye,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,13.0
27,27,GBR,United Kingdom,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,3.3
28,28,USA,United States,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,4.2
29,29,CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,7.0
30,30,EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,5.4
31,31,ISR,Israel,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,4.6
32,32,LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,6.3
33,33,SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,TOT,Total,PC,Percentage,0,Units,5.9
588,588,AUS,Australia,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,55206.0
589,589,AUT,Austria,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,53132.0
590,590,BEL,Belgium,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,54327.0
591,591,CAN,Canada,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,55342.0
592,592,CZE,Czech Republic,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,29885.0
593,593,DNK,Denmark,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,58430.0
594,594,FIN,Finland,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,46230.0
595,595,FRA,France,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,45581.0
596,596,DEU,Germany,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,53745.0
597,597,GRC,Greece,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,27207.0
598,598,HUN,Hungary,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,25409.0
599,599,ISL,Iceland,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,67488.0
600,600,IRL,Ireland,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,49474.0
601,601,ITA,Italy,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,37769.0
602,602,JPN,Japan,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,38515.0
603,603,KOR,Korea,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,41960.0
604,604,LUX,Luxembourg,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,65854.0
605,605,MEX,Mexico,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,16230.0
606,606,NLD,Netherlands,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,58828.0
607,607,NZL,New Zealand,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,45269.0
608,608,NOR,Norway,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,55780.0
609,609,POL,Poland,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,32527.0
610,610,PRT,Portugal,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,28410.0
611,611,SVK,Slovak Republic,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,23619.0
612,612,ESP,Spain,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,37922.0
613,613,SWE,Sweden,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,47020.0
614,614,CHE,Switzerland,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,64824.0
615,615,GBR,United Kingdom,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,47147.0
616,616,USA,United States,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,69392.0
617,617,CHL,Chile,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,26729.0
618,618,EST,Estonia,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,30720.0
619,619,ISR,Israel,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,39322.0
620,620,LVA,Latvia,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,29876.0
621,621,SVN,Slovenia,JE_PEARN,Personal earnings,L,Value,TOT,Total,USD,US Dollar,0,Units,41445.0
930,930,AUS,Australia,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,499.0
931,931,AUT,Austria,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,491.0
932,932,BEL,Belgium,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,500.0
933,933,CAN,Canada,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,517.0
934,934,CZE,Czech Republic,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,495.0
935,935,DNK,Denmark,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,501.0
936,936,FIN,Finland,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,516.0
937,937,FRA,France,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,494.0
938,938,DEU,Germany,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,500.0
939,939,GRC,Greece,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,453.0
940,940,HUN,Hungary,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,479.0
941,941,ISL,Iceland,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,481.0
942,942,IRL,Ireland,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,505.0
943,943,ITA,Italy,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,477.0
944,944,JPN,Japan,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,520.0
945,945,KOR,Korea,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,520.0
946,946,LUX,Luxembourg,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,477.0
947,947,MEX,Mexico,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,416.0
948,948,NLD,Netherlands,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,502.0
949,949,NZL,New Zealand,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,503.0
950,950,NOR,Norway,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,497.0
951,951,POL,Poland,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,513.0
952,952,PRT,Portugal,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,492.0
953,953,SVK,Slovak Republic,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,469.0
954,954,SWE,Sweden,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,503.0
955,955,CHE,Switzerland,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,498.0
956,956,TUR,Türkiye,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,462.0
957,957,GBR,United Kingdom,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,503.0
958,958,USA,United States,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,495.0
959,959,BRA,Brazil,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,400.0
960,960,CHL,Chile,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,438.0
961,961,EST,Estonia,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,526.0
962,962,ISR,Israel,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,465.0
963,963,LVA,Latvia,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,487.0
964,964,RUS,Russia,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,481.0
965,965,SVN,Slovenia,ES_STCS,Student skills,L,Value,TOT,Total,AVSCORE,Average score,0,Units,504.0
967,967,AUS,Australia,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,495.0
968,968,AUT,Austria,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,489.0
969,969,BEL,Belgium,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,499.0
970,970,CAN,Canada,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,512.0
971,971,CZE,Czech Republic,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,490.0
972,972,DNK,Denmark,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,496.0
973,973,FIN,Finland,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,503.0
974,974,FRA,France,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,490.0
975,975,DEU,Germany,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,497.0
976,976,GRC,Greece,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,445.0
977,977,HUN,Hungary,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,477.0
978,978,ISL,Iceland,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,472.0
979,979,IRL,Ireland,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,501.0
980,980,ITA,Italy,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,476.0
981,981,JPN,Japan,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,519.0
982,982,KOR,Korea,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,517.0
983,983,LUX,Luxembourg,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,472.0
984,984,MEX,Mexico,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,418.0
985,985,NLD,Netherlands,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,497.0
986,986,NZL,New Zealand,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,500.0
987,987,NOR,Norway,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,486.0
988,988,POL,Poland,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,508.0
989,989,PRT,Portugal,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,490.0
990,990,SVK,Slovak Republic,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,463.0
991,991,SWE,Sweden,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,495.0
992,992,CHE,Switzerland,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,494.0
993,993,TUR,Türkiye,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,458.0
994,994,GBR,United Kingdom,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,503.0
995,995,USA,United States,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,493.0
996,996,BRA,Brazil,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,397.0
997,997,CHL,Chile,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,436.0
998,998,EST,Estonia,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,521.0
999,999,ISR,Israel,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,452.0
1000,1000,LVA,Latvia,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,482.0
1001,1001,RUS,Russia,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,478.0
1002,1002,SVN,Slovenia,ES_STCS,Student skills,L,Value,MN,Men,AVSCORE,Average score,0,Units,495.0
1004,1004,AUS,Australia,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,503.0
1005,1005,AUT,Austria,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,493.0
1006,1006,BEL,Belgium,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,501.0
1007,1007,CAN,Canada,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,521.0
1008,1008,CZE,Czech Republic,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,501.0
1009,1009,DNK,Denmark,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,506.0
1010,1010,FIN,Finland,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,530.0
1011,1011,FRA,France,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,497.0
1012,1012,DEU,Germany,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,504.0
1013,1013,GRC,Greece,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,462.0
1014,1014,HUN,Hungary,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,481.0
1015,1015,ISL,Iceland,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,491.0
1016,1016,IRL,Ireland,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,508.0
1017,1017,ITA,Italy,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,478.0
1018,1018,JPN,Japan,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,521.0
1019,1019,KOR,Korea,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,522.0
1020,1020,LUX,Luxembourg,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,481.0
1021,1021,MEX,Mexico,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,415.0
1022,1022,NLD,Netherlands,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,508.0
1023,1023,NZL,New Zealand,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,506.0
1024,1024,NOR,Norway,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,508.0
1025,1025,POL,Poland,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,518.0
1026,1026,PRT,Portugal,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,494.0
1027,1027,SVK,Slovak Republic,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,475.0
1028,1028,SWE,Sweden,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,510.0
1029,1029,CHE,Switzerland,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,502.0
1030,1030,TUR,Türkiye,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,467.0
1031,1031,GBR,United Kingdom,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,504.0
1032,1032,USA,United States,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,498.0
1033,1033,BRA,Brazil,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,403.0
1034,1034,CHL,Chile,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,439.0
1035,1035,EST,Estonia,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,530.0
1036,1036,ISR,Israel,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,477.0
1037,1037,LVA,Latvia,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,493.0
1038,1038,RUS,Russia,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,485.0
1039,1039,SVN,Slovenia,ES_STCS,Student skills,L,Value,WMN,Women,AVSCORE,Average score,0,Units,512.0
1041,1041,AUS,Australia,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,549.0
1042,1042,AUT,Austria,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,533.0
1043,1043,BEL,Belgium,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,550.0
1044,1044,CAN,Canada,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,553.0
1045,1045,CZE,Czech Republic,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,544.0
1046,1046,DNK,Denmark,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,540.0
1047,1047,FIN,Finland,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,562.0
1048,1048,FRA,France,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,550.0
1049,1049,DEU,Germany,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,564.0
1050,1050,GRC,Greece,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,502.0
1051,1051,HUN,Hungary,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,534.0
1052,1052,ISL,Iceland,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,510.0
1053,1053,IRL,Ireland,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,557.0
1054,1054,ITA,Italy,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,511.0
1055,1055,JPN,Japan,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,537.0
1056,1056,KOR,Korea,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,552.0
1057,1057,LUX,Luxembourg,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,537.0
1058,1058,MEX,Mexico,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,464.0
1059,1059,NLD,Netherlands,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,536.0
1060,1060,NZL,New Zealand,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,558.0
1061,1061,NOR,Norway,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,532.0
1062,1062,POL,Poland,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,560.0
1063,1063,PRT,Portugal,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,543.0
1064,1064,SVK,Slovak Republic,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,511.0
1065,1065,SWE,Sweden,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,549.0
1066,1066,CHE,Switzerland,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,539.0
1067,1067,TUR,Türkiye,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,513.0
1068,1068,GBR,United Kingdom,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,550.0
1069,1069,USA,United States,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,558.0
1070,1070,BRA,Brazil,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,470.0
1071,1071,CHL,Chile,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,502.0
1072,1072,EST,Estonia,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,558.0
1073,1073,ISR,Israel,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,529.0
1074,1074,LVA,Latvia,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,512.0
1075,1075,RUS,Russia,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,510.0
1076,1076,SVN,Slovenia,ES_STCS,Student skills,L,Value,HGH,High,AVSCORE,Average score,0,Units,541.0
1078,1078,AUS,Australia,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,460.0
1079,1079,AUT,Austria,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,440.0
1080,1080,BEL,Belgium,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,440.0
1081,1081,CAN,Canada,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,485.0
1082,1082,CZE,Czech Republic,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,439.0
1083,1083,DNK,Denmark,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,462.0
1084,1084,FIN,Finland,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,483.0
1085,1085,FRA,France,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,443.0
1086,1086,DEU,Germany,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,450.0
1087,1087,GRC,Greece,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,417.0
1088,1088,HUN,Hungary,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,420.0
1089,1089,ISL,Iceland,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,437.0
1090,1090,IRL,Ireland,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,482.0
1091,1091,ITA,Italy,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,436.0
1092,1092,JPN,Japan,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,465.0
1093,1093,KOR,Korea,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,477.0
1094,1094,LUX,Luxembourg,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,415.0
1095,1095,MEX,Mexico,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,382.0
1096,1096,NLD,Netherlands,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,448.0
1097,1097,NZL,New Zealand,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,462.0
1098,1098,NOR,Norway,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,459.0
1099,1099,POL,Poland,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,469.0
1100,1100,PRT,Portugal,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,448.0
1101,1101,SVK,Slovak Republic,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,404.0
1102,1102,SWE,Sweden,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,460.0
1103,1103,CHE,Switzerland,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,435.0
1104,1104,TUR,Türkiye,ES_STCS,Student skills,L,Value,LW,Low,AVSCORE,Average score,0,Units,437.0
